,pub_year,pub_month,journal_name,paper_title,author
10,2020,4,Science & justice : journal of the Forensic Science Society,Communicating forensic science opinion: An examination of expert reporting practices,"Australia.NSW 2052.Agnes S.Bali,Australia.NSW 2052.Gary.Edmond,Australia.VIC 3008.Kaye N.Ballantyne,Australia.NSW 2052.Richard I.Kemp,Australia.NSW 2052.Kristy A.Martire"
11,2020,3,Science China. Life sciences,Epigenetic regulation of phosphodiesterase 4d in restrictive cardiomyopathy mice with cTnI mutations,"China.400014.Weian.Zhao,China.400014.Xiaoqi.Wu,China.400014.Zhiyuan.Wang,China.400014.Bo.Pan,China.400014.Lifei.Liu,China.400014.Lingjuan.Liu,USA.33414.Xupei.Huang,China.400014.Jie.Tian"
12,2020,3,Science China. Life sciences,Chitosan/LiCl composite scaffolds promote skin regeneration in full-thickness loss,"China.100853.Jifang.Yuan,China.100853.Qian.Hou,China.100853.Deyun.Chen,China.100853.Lingzhi.Zhong,China.100853.Xin.Dai,China.100853.Ziying.Zhu,China.100853.Meirong.Li,China.100853.Xiaobing.Fu"
13,2020,04,Science and engineering ethics,Towards Including End-Users in the Design of Prosthetic Hands: Ethical Analysis of a Survey of Australians with Upper-Limb Difference,"Hong Kong.Kowloon.Mary Jean.Walker,Australia.Melbourne.Eliza.Goddard,Australia.Wollongong.Benjamin.Stephens-Fripp,Australia.Wollongong.Gursel.Alici"
14,2020,3,Science and engineering ethics,Artificial Moral Agents: A Survey of the Current Status,"Mexico.Ameca.José-Antonio.Cervantes,Mexico.Ameca.Sonia.López,Mexico.Sonora.Luis-Felipe.Rodríguez,Mexico.Ameca.Salvador.Cervantes,Mexico.Tlaquepaque.Francisco.Cervantes,Mexico.Guadalajara.Félix.Ramos"
15,2020,04,Science and engineering ethics,AWOSE - A Process Model for Incorporating Ethical Analyses in Agile Systems Engineering,"Germany.Bielefeld.Benjamin.Strenge,Germany.Bielefeld.Thomas.Schack"
16,2020,04,Science and engineering ethics,Awareness of Jordanian Investigators About the Importance of Ethics Review Committees: A Pilot Study,"Jordan.22110.Abeer M.Rababa'h,Jordan.22110.Karem H.Alzoubi,Jordan.22110.Mera.Ababneh,Jordan.22110.Omar F.Khabour"
17,2020,3,Science and engineering ethics,Facing the Pariah of Science: The Frankenstein Myth as a Social and Ethical Reference for Scientists,"USA.Tempe.Peter.Nagy,USA.Tempe.Ruth.Wylie,USA.Tempe.Joey.Eschrich,USA.Tempe.Ed.Finn"
18,2020,04,Science and engineering ethics,AMICAI: A Method Based on Risk Analysis to Integrate Responsible Research and Innovation into the Work of Research and Innovation Practitioners,"Germany.Aachen.Christopher.Brandl,Germany.Aachen.Matthias.Wille,Germany.Aachen.Jochen.Nelles,Germany.Aachen.Peter.Rasche,Germany.Aachen.Katharina.Schäfer,Germany.Aachen.Frank O.Flemisch,Germany.Aachen.Martin.Frenz,Germany.Aachen.Verena.Nitsch,Germany.Aachen.Alexander.Mertens"
19,2020,3,Science and engineering ethics,Suggestions to Improve the Comprehensibility of Current Definitions of Scientific Authorship for International Authors,"Ireland.Dublin.Mohammad.Hosseini,The Netherlands.Nijmegen.Luca.Consoli,The Netherlands.Rotterdam.H A E.Zwart,The Netherlands.Utrecht.Mariette A.van den Hoven"
20,2020,2,Science China. Life sciences,Elymus sibiricus populations drive the community of root-associated arbuscular mycorrhizal fungi in a monoculture agroecosystem,"China.730020.Rui.Zhong,China.730020.Wengang.Xie,China.730020.Xingxu.Zhang,China.730020.Zhibiao.Nan"
21,2020,2,Science China. Life sciences,Characterization and immunogenicity of bone marrow-derived mesenchymal stem cells under osteoporotic conditions,"China.215006.Yingkang.Huang,China.215123.Yin.Yin,China.215006.Yanzheng.Gu,China.215006.Qiaoli.Gu,China.215006.Huilin.Yang,China.215123.Zhengyu.Zhou,China.215006.Qin.Shi"
22,2020,2,Science China. Life sciences,Reconstruction of behavior-relevant individual brain activity: an individualized fMRI study,"China.100190.Dongya.Wu,China.310027.Xin.Li,China.100190.Tianzi.Jiang"
23,2020,03,Science & justice : journal of the Forensic Science Society,Geomatic techniques in forensic science: A review,"Canada.Ontario.Victoria.Berezowski,Australia.Newcastle.Xanthé.Mallett,United Kingdom.University of Cambridge.Ian.Moffat"
24,2020,03,Science & justice : journal of the Forensic Science Society,Evaluation of ninhydrin as a fingermark visualisation method - A comparison between different procedures as an outcome of the 2017 collaborative exercise of the ENFSI Fingerprint Working Group,"Italy.Parma.Francesco.Zampa,Germany.Wiesbaden.Monika.Hilgert,Sweden.Linkoping.Jonas.Malmborg,Sweden.Linkoping.Maria.Svensson,Germany.Wiesbaden.Lothar.Schwarz,Italy.Messina.Aldo.Mattei,None.None.None.None"
25,2020,03,Science & justice : journal of the Forensic Science Society,A survey of bacteria associated with various life stages of primary colonizers: Lucilia sericata and Phormia regina,"United States.VA.Denise.Wohlfahrt,United States.VA.M Shane.Woolf,United States.VA.Baneshwar.Singh"
26,2020,03,Science & justice : journal of the Forensic Science Society,Prevalence of organic gunshot residues in police vehicles,"Switzerland.1015 Lausanne.Anne-Laure.Gassner,Switzerland.1015 Lausanne.Céline.Weyermann"
27,2020,03,Science & justice : journal of the Forensic Science Society,"How do latent print examiners perceive proficiency testing? An analysis of examiner perceptions, performance, and print quality","USA.University of Virginia.Sharon.Kelley,USA.University of Virginia.Brett O.Gardner,USA.University of Virginia.Daniel C.Murrie,USA.University of Virginia.Karen D H.Pan,USA.University of Virginia.Karen.Kafadar"
28,2020,03,Science & justice : journal of the Forensic Science Society,Communicating forensic scientific expertise: An analysis of expert reports and corresponding testimony in Tasmanian courts,"Australia.Tasmania 7001.Carmen A.Reid,Australia.Tasmania 7001.Loene M.Howes"
29,2020,02,"Science (New York, N.Y.)",Intrinsic quantized anomalous Hall effect in a moiré heterostructure,"USA.CA 93106.M.Serlin,USA.CA 93106.C L.Tschirhart,USA.CA 93106.H.Polshyn,USA.CA 93106.Y.Zhang,USA.CA 93106.J.Zhu,Japan.Tsukuba 305-0044.K.Watanabe,Japan.Tsukuba 305-0044.T.Taniguchi,USA.CA 93106.L.Balents,USA.CA 93106.A F.Young"
30,2020,02,Science and engineering ethics,Regulation of Stem Cell Technology in Malaysia: Current Status and Recommendations,"Malaysia.Kuala Lumpur.Nishakanthi.Gopalan,Malaysia.Selangor.Siti Nurani Mohd.Nor,Malaysia.Kuala Lumpur.Mohd Salim.Mohamed"
31,2020,02,Science and engineering ethics,When Public Discourse Mirrors Academic Debate: Research Integrity in the Media,"Italy.TN.Ilaria.Ampollini,Italy.TN.Massimiano.Bucchi"
32,2020,02,Science and engineering ethics,An Empirical Study on Construction Process Corruption Susceptibility: A Vignette of International Expertise,"Hong Kong.Kowloon.Emmanuel Kingsford.Owusu,Hong Kong.Kowloon.Albert P C.Chan,China.Hunan Sheng.Ming.Shan,UK.B4 7XG.Erika.Pärn"
33,2020,02,Science and engineering ethics,Islamic Perspectives on CRISPR/Cas9-Mediated Human Germline Gene Editing: A Preliminary Discussion,"Malaysia.Kuala Lumpur.Noor Munirah.Isa,Malaysia.Kuala Lumpur.Nurul Atiqah.Zulkifli,Malaysia.Kuala Lumpur.Saadan.Man"
34,2020,02,Science and engineering ethics,"Solutions to Gender Balance in STEM Fields Through Support, Training, Education and Mentoring: Report of the International Women in Medical Physics and Biomedical Engineering Task Group","USA.NY.Gilda.Barabino,Canada.K1S 5B6.Monique.Frize,Malaysia.Kuala Lumpur.Fatimah.Ibrahim,Greece.Alexandroupoli.Eleni.Kaldoudi,Czech Republic.Prague 6.Lenka.Lhotska,Romania.Oradea.Loredana.Marcu,UK.York.Magdalena.Stoeva,Greece.Nea Ionia.Virginia.Tsapaki,Australia.5001.Eva.Bezak"
35,2020,02,Science and engineering ethics,Artificial Intelligence Crime: An Interdisciplinary Analysis of Foreseeable Threats and Solutions,"UK.OX1 3JS.Thomas C.King,UK.OX1 3JS.Nikita.Aggarwal,UK.OX1 3JS.Mariarosaria.Taddeo,UK.OX1 3JS.Luciano.Floridi"
36,2020,02,Science and engineering ethics,Using Participatory Design to Inform the Connected and Open Research Ethics (CORE) Commons,"USA.85287-5603.John.Harlow,USA.92093.Nadir.Weibel,USA.92093.Rasheed.Al Kotob,USA.92093.Vincent.Chan,USA.92093.Cinnamon.Bloss,USA.92093.Rubi.Linares-Orozco,USA.92093.Michelle.Takemoto,USA.92093.Camille.Nebeker"
37,2020,02,Science and engineering ethics,The Challenges of Medical Ethics in China: Are Gene-Edited Babies Enough,"China.Guangdong Province.Zeng Jie.Ye,China.510275.Xiao Ying.Zhang,China.510006.Jian.Liang,China.510006.Ying.Tang"
38,2020,01,"Science (New York, N.Y.)",Microglia monitor and protect neuronal function through specialized somatic purinergic junctions,"Hungary.Budapest.Csaba.Cserép,Hungary.Budapest.Balázs.Pósfai,Hungary.Budapest.Nikolett.Lénárt,Hungary.Budapest.Rebeka.Fekete,Hungary.Budapest.Zsófia I.László,Hungary.Budapest.Zsolt.Lele,Hungary.Budapest.Barbara.Orsolits,Hungary.Szeged.Gábor.Molnár,Germany.Munich.Steffanie.Heindl,Hungary.Budapest.Anett D.Schwarcz,Hungary.Budapest.Katinka.Ujvári,Hungary.Budapest.Zsuzsanna.Környei,Hungary.Budapest.Krisztina.Tóth,Hungary.Budapest.Eszter.Szabadits,Hungary.Budapest.Beáta.Sperlágh,Hungary.Budapest.Mária.Baranyi,Hungary.Debrecen.László.Csiba,Hungary.Szeged.Tibor.Hortobágyi,Hungary.Budapest.Zsófia.Maglóczky,Hungary.Budapest.Bernadett.Martinecz,Hungary.Budapest.Gábor.Szabó,Hungary.Budapest.Ferenc.Erdélyi,Hungary.Budapest.Róbert.Szipőcs,USA.Colorado.Michael M.Tamkun,Germany.Munich.Benno.Gesierich,Germany.Munich.Marco.Duering,Hungary.Budapest.István.Katona,Germany.Munich.Arthur.Liesz,Hungary.Szeged.Gábor.Tamás,Hungary.Budapest.Ádám.Dénes"
39,2020,0,"Science (New York, N.Y.)",Attosecond coherent manipulation of electrons in tunneling microscopy,"Germany.70569 Stuttgart.M.Garg,Germany.70569 Stuttgart.K.Kern"
40,2020,01,"Science (New York, N.Y.)",Nitromethane as a nitrogen donor in Schmidt-type formation of amides and nitriles,"China.Beijing 100191.Jianzhong.Liu,China.Beijing 100191.Cheng.Zhang,China.Beijing 100191.Ziyao.Zhang,China.Beijing 100191.Xiaojin.Wen,China.Beijing 100191.Xiaodong.Dou,China.Beijing 100191.Jialiang.Wei,China.Beijing 100191.Xu.Qiu,China.Beijing 100191.Song.Song,China.Beijing 100191.Ning.Jiao"
41,2020,01,"Science (New York, N.Y.)",Lipid-gated monovalent ion fluxes regulate endocytic traffic and support immune surveillance,"Canada.ON.Spencer A.Freeman,USA.MD.Stefan.Uderhardt,USA.MD.Amra.Saric,Canada.ON.Richard F.Collins,Canada.ON.Catherine M.Buckley,Canada.ON.Sivakami.Mylvaganam,Canada.ON.Parastoo.Boroumand,Canada.ON.Jonathan.Plumb,USA.MD.Ronald N.Germain,USA.PA.Dejian.Ren,Canada.ON.Sergio.Grinstein"
42,2020,01,"Science (New York, N.Y.)",Integrated hearing and chewing modules decoupled in a Cretaceous stem therian mammal,"China.Beijing 100044.Fangyuan.Mao,China.Beijing 100044.Yaoming.Hu,China.Beijing 100044.Chuankui.Li,China.Beijing 100044.Yuanqing.Wang,USA.NY 10024.Morgan Hill.Chase,USA.NY 10024.Andrew K.Smith,USA.NY 10024.Jin.Meng"
43,2020,01,"Science (New York, N.Y.)",Dermal sheath contraction powers stem cell niche relocation during hair cycle regression,"USA.NY.Nicholas.Heitman,USA.NY.Rachel.Sennett,USA.NY.Ka-Wai.Mok,USA.NY.Nivedita.Saxena,USA.NY.Devika.Srivastava,USA.NY.Pieter.Martino,USA.NY.Laura.Grisanti,USA.NY.Zichen.Wang,USA.NY.Avi.Ma'ayan,USA.PA.Panteleimon.Rompolas,USA.NY.Michael.Rendl"
44,2020,01,"Science (New York, N.Y.)",Nearly quantized conductance plateau of vortex zero mode in an iron-based superconductor,"China.Beijing 100190.Shiyu.Zhu,China.Beijing 100190.Lingyuan.Kong,China.Beijing 100190.Lu.Cao,China.Beijing 100190.Hui.Chen,USA.MA 02139.Michał.Papaj,China.Beijing 100190.Shixuan.Du,China.Beijing 100190.Yuqing.Xing,China.Beijing 100190.Wenyao.Liu,China.Beijing 100190.Dongfei.Wang,China.Beijing 100190.Chengmin.Shen,China.Beijing 100190.Fazhi.Yang,USA.NY 11973.John.Schneeloch,USA.NY 11973.Ruidan.Zhong,USA.NY 11973.Genda.Gu,USA.MA 02139.Liang.Fu,China.Beijing 100190.Yu-Yang.Zhang,China.Beijing 100190.Hong.Ding,China.Beijing 100190.Hong-Jun.Gao"
45,2020,01,"Science (New York, N.Y.)",A terrestrial gamma-ray flash and ionospheric ultraviolet emissions powered by lightning,"Denmark.Kongens Lyngby.Torsten.Neubert,Norway.Bergen.Nikolai.Østgaard,Spain.Valencia.Victor.Reglero,Denmark.Kongens Lyngby.Olivier.Chanrion,Denmark.Kongens Lyngby.Matthias.Heumesser,Denmark.Kongens Lyngby.Krystallia.Dimitriadou,Denmark.Kongens Lyngby.Freddy.Christiansen,Denmark.Kongens Lyngby.Carl.Budtz-Jørgensen,Denmark.Kongens Lyngby.Irfan.Kuvvetli,Denmark.Kongens Lyngby.Ib Lundgaard.Rasmussen,Norway.Bergen.Andrey.Mezentsev,Norway.Bergen.Martino.Marisaldi,Norway.Bergen.Kjetil.Ullaland,Norway.Bergen.Georgi.Genov,Norway.Bergen.Shiming.Yang,Norway.Bergen.Pavlo.Kochkin,Spain.Valencia.Javier.Navarro-Gonzalez,Spain.Valencia.Paul H.Connell,Spain.Valencia.Chris J.Eyles"
46,2020,01,"Science (New York, N.Y.)",Glucose-dependent control of leucine metabolism by leucyl-tRNA synthetase 1,"Republic of Korea.Seoul 08826.Ina.Yoon,Republic of Korea.Seoul 03759.Miso.Nam,Republic of Korea.Seoul 08826.Hoi Kyoung.Kim,Republic of Korea.Seoul 08826.Hee-Sun.Moon,Republic of Korea.Seoul 08826.Sungmin.Kim,Republic of Korea.Seoul 08826.Jayun.Jang,Republic of Korea.Seoul 08826.Ji Ae.Song,Republic of Korea.Seoul 08826.Seung Jae.Jeong,Republic of Korea.Seoul 08826.Sang Bum.Kim,Republic of Korea.Seoul 08826.Seongmin.Cho,Republic of Korea.Seoul 08826.YounHa.Kim,Republic of Korea.Seoul 08826.Jihye.Lee,Republic of Korea.Seoul 08826.Won Suk.Yang,Republic of Korea.Incheon 21983.Hee Chan.Yoo,Republic of Korea.Incheon 21983.Kibum.Kim,Republic of Korea.Seoul 03759.Min-Sun.Kim,Republic of Korea.Daejeon 34141.Aerin.Yang,Republic of Korea.Daejeon 34141.Kyukwang.Cho,Republic of Korea.Daejeon 34141.Hee-Sung.Park,Republic of Korea.Seoul 03759.Geum-Sook.Hwang,Republic of Korea.Seoul 02841.Kwang Yeon.Hwang,Republic of Korea.Incheon 21983.Jung Min.Han,Republic of Korea.Seoul 08826.Jong Hyun.Kim,Republic of Korea.Seoul 08826.Sunghoon.Kim"
47,2020,01,"Science (New York, N.Y.)",Massively multiplex chemical transcriptomics at single-cell resolution,"USA.WA.Sanjay R.Srivatsan,USA.WA.José L.McFaline-Figueroa,USA.WA.Vijay.Ramani,USA.WA.Lauren.Saunders,USA.WA.Junyue.Cao,USA.WA.Jonathan.Packer,USA.WA.Hannah A.Pliner,USA.WA.Dana L.Jackson,USA.WA.Riza M.Daza,USA.CA.Lena.Christiansen,USA.CA.Fan.Zhang,USA.CA.Frank.Steemers,USA.WA.Jay.Shendure,USA.WA.Cole.Trapnell"
48,2020,01,"Science (New York, N.Y.)",A single photonic cavity with two independent physical synthetic dimensions,"USA.CA 94305.Avik.Dutt,USA.CA 94305.Qian.Lin,China.Shanghai 200240.Luqi.Yuan,USA.CA 94305.Momchil.Minkov,China.Wuhan 430072.Meng.Xiao,USA.CA 94305.Shanhui.Fan"
49,2020,01,"Science (New York, N.Y.)",Oriented attachment induces fivefold twins by forming and decomposing high-energy grain boundaries,"USA.WA 99352.Miao.Song,China.Shenyang 110016.Gang.Zhou,USA.MI 48109.Ning.Lu,USA.WA 99352.Jaewon.Lee,USA.WA 99352.Elias.Nakouzi,China.Shenyang 110016.Hao.Wang,USA.WA 99352.Dongsheng.Li"
50,2020,01,"Science (New York, N.Y.)",Evolution of carnivorous traps from planar leaves through simple shifts in gene expression,"UK.Norwich NR4 7UH.Christopher D.Whitewoods,UK.Norwich NR4 7UH.Beatriz.Gonçalves,UK.Norwich NR4 7UH.Jie.Cheng,China.Zhejiang.Minlong.Cui,UK.Norwich NR4 7UH.Richard.Kennaway,UK.Norwich NR4 7UH.Karen.Lee,UK.Norwich NR4 7UH.Claire.Bushell,UK.Norwich NR4 7UH.Man.Yu,China.Zhejiang.Chunlan.Piao,UK.Norwich NR4 7UH.Enrico.Coen"
51,2020,01,"Science (New York, N.Y.)",TTC5 mediates autoregulation of tubulin via mRNA degradation,"UK.Cambridge CB2 0QH.Zhewang.Lin,USA.MA 02115.Ivana.Gasic,UK.Cambridge CB2 0QH.Viswanathan.Chandrasekaran,UK.Cambridge CB2 0QH.Niklas.Peters,USA.MA 02115.Sichen.Shao,USA.MA 02115.Timothy J.Mitchison,UK.Cambridge CB2 0QH.Ramanujan S.Hegde"
52,2020,0,Science China. Life sciences,One-step generation of zebrafish carrying a conditional knockout-knockin visible switch via CRISPR/Cas9-mediated intron targeting,"China.200031.Jia.Li,China.200031.Hong-Yu.Li,China.200092.Shan-Ye.Gu,China.200031.Hua-Xing.Zi,China.200092.Lai.Jiang,China.200031.Jiu-Lin.Du"
53,2020,0,Science China. Life sciences,Recent advances in mammalian reproductive biology,"China.100871.Lu.Wen,China.100871.Qiang.Liu,China.200030.Jingjing.Xu,China.100871.Xixi.Liu,China.200030.Chaoyi.Shi,China.200030.Zuwei.Yang,China.200030.Yili.Zhang,China.200030.Hong.Xu,China.100101.Jiang.Liu,China.200031.Hui.Yang,China.200030.Hefeng.Huang,China.100871.Jie.Qiao,China.100871.Fuchou.Tang,China.250021.Zi-Jiang.Chen"
54,2020,01,Science China. Life sciences,Smart calcium peroxide with self-sufficience for biomedicine,"China.071002.Shutao.Gao,China.071002.Miao.Fan,China.071002.Zhenhua.Li,China.071002.Kun.Ge,China.100190.Xing-Jie.Liang,China.071002.Jinchao.Zhang"
55,2020,01,Science China. Life sciences,Nanopore sequencing of African swine fever virus,"China.430071.Lijia.Jia,China.430071.Mengwei.Jiang,China.430071.Ke.Wu,China.430071.Juefu.Hu,China.101312.Yang.Wang,China.430074.Weipeng.Quan,China.430071.Mengchan.Hao,China.430071.Haizhou.Liu,China.430071.Hongping.Wei,China.100101.Wenhui.Fan,China.100049.Wenjun.Liu,China.130122.Rongliang.Hu,China.101312.Depeng.Wang,China.100049.Jing.Li,China.430071.Jianjun.Chen,China.430071.Di.Liu"
56,2020,0,Science China. Life sciences,Temporal regulation of prenatal embryonic development by paternal imprinted loci,"China.200031.Qing.Li,China.200031.Yuanyuan.Li,China.200031.Qi.Yin,China.201210.Shuo.Huang,China.200031.Kai.Wang,China.201210.Liangchai.Zhuo,China.200031.Wei.Li,China.200031.Boran.Chang,China.200031.Jinsong.Li"
57,2020,0,Science China. Life sciences,Glutamate and aspartate alleviate testicular/epididymal oxidative stress by supporting antioxidant enzymes and immune defense systems in boars,"China.410081.Wenjie.Tang,China.410125.Jian.Wu,China.410125.Shunshun.Jin,China.410081.Liuqin.He,China.410004.Qinlu.Lin,China.410004.Feijun.Luo,China.610066.Xingguo.He,China.150086.Yanzhong.Feng,China.410219.Binsheng.He,China.410219.Pingping.Bing,China.410125.Tiejun.Li,China.410081.Yulong.Yin"
58,2020,01,Science & justice : journal of the Forensic Science Society,Bridging the gap between academia and practice: Perspectives from two large-scale and niche research projects in Canada,"Canada.ON K9L 0G2.D V.Beresford,Canada.ON L1G 0C5.T.Stotesbury,Canada.ON K9L 0G2.S V.Langer,Canada.ON K9L 0G2.M.Illes,Canada.ON K9L 0G2.C J.Kyle,emeritus.Royal Canadian Mounted Police.B.Yamashita"
59,2020,01,Science & justice : journal of the Forensic Science Society,A cultural change to enable improved decision-making in forensic science: A six phased approach,"United Kingdom.Portsmouth PO1 2HY.Helen.Earwaker,United Kingdom.London WC1H 9EZ.Sherry.Nakhaeizadeh,United Kingdom.London WC1H 9EZ.Nadine M.Smit,United Kingdom.London WC1H 9EZ.Ruth M.Morgan"
60,2020,01,Science & justice : journal of the Forensic Science Society,The identification of individuals by observational gait analysis using closed circuit television footage: Comparing the ability and confidence of experienced and non-experienced analysts,"United Kingdom.England S13 7LY.Ivan.Birch,United Kingdom.England BN20 7UR.Maria.Birch,United Kingdom.Glasgow G1 1XQ.Nadia.Asgeirsdottir"
61,2020,01,Science & justice : journal of the Forensic Science Society,Evaluation of a Hot Print System for the development of latent fingermarks on thermal paper: A pseudo-operational trial,"UK.Dundee DD1 1HG.Kiera.Robb,UK.Dundee DD1 1HG.Paul.Deacon,UK.Dundee DD1 1HG.Laura.Fordyce,UK.Dundee DD1 1HG.Rebecca.Fennessy,UK.Leicester LE1 9BH.Kevin J.Farrugia"
62,2020,01,Science & justice : journal of the Forensic Science Society,Comparison of three collection methods for the sodium rhodizonate detection of gunshot residues on hands,"Switzerland.Lausanne.Denis.Werner,Switzerland.Lausanne.Anne-Laure.Gassner,Switzerland.Lausanne.Jorina.Marti,Switzerland.Zürich.Stephan.Christen,Switzerland.Zürich.Philipp.Wyss,Switzerland.Lausanne.Céline.Weyermann"
63,2020,01,Science & justice : journal of the Forensic Science Society,Persistence of transferred fragrance on fabrics for forensic reconstruction applications,"United Kingdom.London WC1H 0AJ.Simona.Gherghel,United Kingdom.London WC1H 9EZ.Ruth M.Morgan,Spain.E-04120 Almería.Javier F.Arrebola-Liébanas,United Kingdom.London WC1H 0AJ.Chris S.Blackman,Spain.E-04120 Almería.Antonia.Garrido-Frenich,United Kingdom.London WC1H 0AJ.Ivan P.Parkin"
64,2020,01,Science & justice : journal of the Forensic Science Society,Image conditions for machine-based face recognition of juvenile faces,"United Kingdom.Merseyside L3 5TF.Ching Yiu Jessica.Liu,United Kingdom.Merseyside L3 5RD.Caroline.Wilkinson"
65,2020,01,Science & justice : journal of the Forensic Science Society,The value of eye-tracking technology in the analysis and interpretations of skeletal remains: A pilot study,"United Kingdom.WC1H 9EZ.Sherry.Nakhaeizadeh,United Kingdom.WC1H 9EZ.Ruth M.Morgan,Sweden.Stockholm.Viktor.Olsson,Sweden.Stockholm.Martin.Arvidsson,United Kingdom.TS1 3BX Teesside.Tim.Thompson"
66,2020,01,Science & justice : journal of the Forensic Science Society,Validation of presumptive tests for non-human blood using Kastle Meyer and Hemastix reagents,"United Kingdom.Edinburgh EH12 9FJ.F.Casali,United Kingdom.Edinburgh EH12 9FJ.S A.Ciavaglia,United Kingdom.Scottish Police Authority.C.Gannicliffe,United Kingdom.United Kingdom; University of Staffordshire.N.Lidstone,United Kingdom.Edinburgh EH12 9FJ.L M I.Webster"
67,2020,01,Science & justice : journal of the Forensic Science Society,Combining evidence in complex cases - a practical approach to interdisciplinary casework,"the Netherlands.2490 AA The Hague.Jan A.de Koeijer,the Netherlands.1090 GE Amsterdam.Marjan J.Sjerps,the Netherlands.2490 AA The Hague.Peter.Vergeer,the Netherlands.2300 RA Leiden.Charles E H.Berger"
68,2020,01,Science & justice : journal of the Forensic Science Society,Human Leukocyte Antigen alleles as an aid to STR in complex forensic DNA samples,"United Kingdom.Dundee DD1 4HR.Agnieszka.Kuffel,United Kingdom.Dundee DD1 4HR.Alexander.Gray,United Kingdom.Dundee DD1 4HR.Niamh.Nic Daeid"
