,pub_year,pub_month,journal_name,paper_title,author
24,2020,9,Cell journal,Supplementation of Culture Media with Lysophosphatidic Acid Improves The Follicular Development of Human Ovarian Tissue after Xenotransplantaion into The Back Muscle of γ-Irradiated Mice,"Iran.Tehran.Zeynab.Mohammadi,Iran.Tehran.Nasim.Hayati Roodbari,Iran.Tehran.Kazem.Parivar,Iran.Tehran.Mojdeh.Salehnia"
25,2020,9,Cell journal,Folliculogenesis-Associated Genes Expression in Human Vitrified Ovarian Tissue after Xenotransplantation in γ-Irradiated Mice,"Iran.Tehran.Zahra.Shams Mofarahe,Iran.Tehran.Marefat.Ghaffari Novin,Iran.Tehran.Mojdeh.Salehnia"
26,2020,9,Cell journal,"Extraction and Evaluation of Outer Membrane Vesicles from Two Important Gut Microbiota Members, Bacteroides fragilis and Bacteroides thetaiotaomicron","Iran.Tehran.Sara.Ahmadi Badi,Research Institute for Gastroenterology and Liver.Gastroenterology and Liver Diseases Research Center.Arfa.Moshiri,Iran.Tehran.Fatemeh.Ettehad Marvasti,Iran.Tehran.Mojtaba.Mojtahedzadeh,Iran.Tehran.Vida.Kazemi,Iran.Tehran.Seyed Davar.Siadat"
27,2020,9,Cell journal,Allograft of Sertoli Cell Transplantation in Combination with Memantine Alleviates Ischemia-Induced Tissue Damages in An Animal Model of Rat,"Iran.Tehran.Zeinab.SafialHosseini,Iran.Tehran.Mohammadreza.Bigdeli,Iran.Tehran.Sepideh.Khaksar,Iran.Tehran.Abbas.Aliaghaei"
28,2020,9,Cell journal,PolyI:C Upregulated CCR5 and Promoted THP-1-Derived Macrophage Chemotaxis via TLR3/JMJD1A Signalling,"China.Shandong.Xiaoxiao.Yu,China.Shandong.Huayang.Wang,China.Shandong.Hongjia.Shao,China.Shandong.Cuijuan.Zhang,China.Shandong.Xiuli.Ju,China.Shandong.Jie.Yang"
29,2020,9,Cell journal,Adverse Drug Reaction Detection in Social Media by Deepm Learning Methods,"Iran.Kashan.Zahra.Rezaei,Iran.Kashan.Hossein.Ebrahimpour-Komleh,Iran.Tehran.Behnaz.Eslami,Iran.Alborz.Ramyar.Chavoshinejad,Iran.Tehran.Mehdi.Totonchi"
30,2020,9,Cell journal,Cytotoxicity Evaluation of The Bioresorbable and Titanium Plates/Screws Used in Maxillofacial Surgery on Gingival Fibroblasts and Human Mesenchymal Bone Marrow Stem Cells,"Iran.Isfahan.Masoud.Vatani,Iran.Isfahan.Mohammad Hossein.Beigi,Iran.Isfahan.Fatemeh.Ejeian,Iran.Isfahan.Ahmad.Mottaghi,Iran.Isfahan.Afshin.Yadegari-Naeini,Iran.Isfahan.Mohammad Hossein.Nasr-Esfahani"
31,2020,9,Cell journal,Protective Effect of Royal Jelly against Cyclophosphamide-Induced Thrombocytopenia and Spleen and Bone Marrow Damages in Rats,"Iran.Kermanshah.Fatemeh.Khazaei,Iran.Kermanshah.Elham.Ghanbari,Iran.Kermanshah.Mozafar.Khazaei"
32,2020,9,Cell journal,Short Pretreatment with Calcitriol Is Far Superior to Continuous Treatment in Stimulating Proliferation and Osteogenic Differentiation of Human Adipose Stem Cells,"Iran.Tehran.Fatemeh.Mokhtari-Jafari,Iran.Tehran.Ghassem.Amoabediny,Iran.Tehran.Mohammad Mehdi.Dehghan,The Netherlands.Amsterdam.Marco N.Helder,The Netherlands.Amsterdam.Behrouz.Zandieh-Doulabi,The Netherlands.Amsterdam.Jenneke.Klein-Nulend"
33,2020,9,Cell journal,Kinetics of Oncolytic Reovirus T3D Replication and Growth Pattern in Mesenchymal Stem Cells,"Iran.Tehran.Razieh Sadat.Banijamali,Iran.Tehran.Hoorieh.Soleimanjahi,Iran.Tehran.Sara.Soudi,Iran.Tehran.Hesam.Karimi,Iran.Tehran.Asghar.Abdoli,Iran.Tehran.Seyed Mahmood.Seyed Khorrami,USA.Georgia.Keivan.Zandi"
34,2020,9,Cell journal,Cardiac Differentiation of Adipose Tissue-Derived Stem Cells Is Driven by BMP4 and bFGF but Counteracted by 5-Azacytidine and Valproic Acid,"Iran.Tehran.Sanaz.Hasani,Iran.Tehran.Arash.Javeri,Iran.Ardabil.Asadollah.Asadi,Iran.Tehran.Masoumeh.Fakhr Taha"
35,2020,9,Cell journal,The Combination of Metformin and Disulfiram-Cu for Effective Radiosensitization on Glioblastoma Cells,"Iran.Tehran.Narges.Rezaei,Iran.Tehran.Ali.Neshasteh-Riz,Iran.Tehran.Zohreh.Mazaheri,Iran.Tehran.Fereshteh.Koosha,Iran.Tehran.Mahmood.Hoormand"
36,2020,9,Cell journal,Effects of Sorafenib and Arsenic Trioxide on U937 and KG-1 Cell Lines: Apoptosis or Autophagy,"Iran.Tehran.Atousa.Haghi,Iran.Tehran.Mahdieh.Salami,Iran.Tehran.Mahnaz.Mohammadi Kian,Iran.Tehran.Mohsen.Nikbakht,Iran.Tehran.Saeed.Mohammadi,Iran.Tehran.Bahram.Chahardouli,Iran.Tehran.S Haharbano.Rostami,Iran.Bandar Abbass.Kianoosh.Malekzadeh"
37,2020,10,Cellular & molecular immunology,The metabolic regulator Lamtor5 suppresses inflammatory signaling via regulating mTOR-mediated TLR4 degradation,"China.Nanjing.Wei.Zhang,China.Zhejiang.Ningtong.Zhuang,China.Nanjing.Xiaoyi.Liu,China.Nanjing.Long.He,China.Zhejiang.Yan.He,USA.20742.Paween.Mahinthichaichan,China.Zhejiang.Hang.Zhang,China.Zhejiang.Yanhua.Kang,China.Nanjing.Yin.Lu,China.Nanjing.Qinan.Wu,China.Zhejiang.Dakang.Xu,China.Nanjing.Liyun.Shi"
38,2020,10,Cellular & molecular immunology,Essential roles of S100A10 in Toll-like receptor signaling and immunity to infection,"People's Republic of China.453003.Yunwei.Lou,People's Republic of China.453003.Meijuan.Han,People's Republic of China.453003.Huandi.Liu,People's Republic of China.453003.Yuna.Niu,People's Republic of China.453003.Yinming.Liang,People's Republic of China.453003.Jiqiang.Guo,People's Republic of China.453003.Wen.Zhang,People's Republic of China.453003.Hui.Wang"
39,2020,10,Cellular & molecular immunology,Progranulin deficiency confers resistance to autoimmune encephalomyelitis in mice,"Germany.Frankfurt (Main).Katja.Schmitz,Germany.Frankfurt (Main).Annett.Wilken-Schmitz,Germany.Mainz.Verica.Vasic,Germany.Frankfurt am Main.Robert.Brunkhorst,Germany.Mainz.Mirko.Schmidt,Germany.Frankfurt (Main).Irmgard.Tegeder"
40,2020,10,Cellular & molecular immunology,T-cell expression of Bruton's tyrosine kinase promotes autoreactive T-cell activation and exacerbates aplastic anemia,"China.Shanghai.Simo.Xia,China.Shanghai.Xiang.Liu,China.Shanghai.Xuetao.Cao,China.Shanghai.Sheng.Xu"
41,2020,10,Cellular & molecular immunology,CMIP is a negative regulator of T cell signaling,"France.Créteil.Julie.Oniszczuk,France.Créteil.Kelhia.Sendeyo,France.Paris.Cerina.Chhuon,France.Créteil.Berkan.Savas,France.Créteil.Etienne.Cogné,France.Créteil.Pauline.Vachin,France.Créteil.Carole.Henique,France.Paris.Ida Chiara.Guerrera,USA.DC.Giuseppe.Astarita,France.Créteil.Vincent.Frontera,France.Créteil.Andre.Pawlak,France.Créteil.Vincent.Audard,France.Créteil.Dil.Sahali,France.Créteil.Mario.Ollero"
42,2020,9,Cellular and molecular life sciences : CMLS,Cas12a mediates efficient and precise endogenous gene tagging via MITI: microhomology-dependent targeted integrations,"China.100193.Pan.Li,China.100193.Lijun.Zhang,China.100193.Zhifang.Li,China.200031.Chunlong.Xu,China.100193.Xuguang.Du,China.100193.Sen.Wu"
43,2020,9,Cellular and molecular life sciences : CMLS,Vsx1 and Chx10 paralogs sequentially secure V2 interneuron identity during spinal cord development,"Belgium.Brussels.Stéphanie.Debrulle,Belgium.Brussels.Charlotte.Baudouin,Belgium.Brussels.Maria.Hidalgo-Figueroa,Belgium.Brussels.Barbara.Pelosi,Belgium.Brussels.Cédric.Francius,Belgium.Brussels.Vincent.Rucchin,Canada.Victoria.Kara.Ronellenfitch,Canada.Victoria.Robert L.Chow,Belgium.Brussels.Fadel.Tissir,USA.Portland.Soo-Kyung.Lee,Belgium.Brussels.Frédéric.Clotman"
44,2020,9,Cellular and molecular life sciences : CMLS,Elucidation of protein interactions necessary for the maintenance of the BCR-ABL signaling complex,"Czech Republic.Brno.Tomas.Gregor,Czech Republic.Brno.Michaela Kunova.Bosakova,Czech Republic.Brno.Alexandru.Nita,Czech Republic.Brno.Sara P.Abraham,Czech Republic.Brno.Bohumil.Fafilek,Czech Republic.Brno.Nicole H.Cernohorsky,Czech Republic.Brno.Jan.Rynes,Czech Republic.Brno.Silvie.Foldynova-Trantirkova,Czech Republic.Brno.Daniela.Zackova,Czech Republic.Brno.Jiri.Mayer,Czech Republic.Brno.Lukas.Trantirek,Czech Republic.Brno.Pavel.Krejci"
45,2020,9,Cellular and molecular life sciences : CMLS,HAS3-induced extracellular vesicles from melanoma cells stimulate IHH mediated c-Myc upregulation via the hedgehog signaling pathway in target cells,"Finland.Kuopio.Uma Thanigai.Arasu,Finland.Kuopio.Ashik Jawahar.Deen,Finland.Kuopio.Sanna.Pasonen-Seppänen,Finland.Kuopio.Sami.Heikkinen,Finland.Helsinki.Maciej.Lalowski,Finland.Kuopio.Riikka.Kärnä,Finland.Kuopio.Kai.Härkönen,Finland.Kuopio.Petri.Mäkinen,Finland.Helsinki.Elisa.Lázaro-Ibáñez,Finland.Helsinki.Pia R-M.Siljander,Finland.Kuopio.Sanna.Oikari,Finland.Kuopio.Anna-Liisa.Levonen,Finland.Kuopio.Kirsi.Rilla"
46,2020,9,Cellular and molecular life sciences : CMLS,Exotoxins from Staphylococcus aureus activate 5-lipoxygenase and induce leukotriene biosynthesis,"Germany.Jena.Erik.Romp,Germany.Jena.Vandana.Arakandy,Germany.Jena.Jana.Fischer,Germany.Tuebingen.Christiane.Wolz,Germany.Jena.Anke.Siegmund,Germany.Jena.Bettina.Löffler,Germany.Jena.Lorena.Tuchscherr,Germany.Jena.Oliver.Werz,Germany.Jena.Ulrike.Garscha"
47,2020,9,Cellular and molecular life sciences : CMLS,Driving the catalytic activity of a transmembrane thermosensor kinase,"Argentina.Rosario.María Eugenia.Inda,Argentina.Rosario.Juan Cruz.Almada,Argentina.Rosario.Daniela Belén.Vazquez,Argentina.Rosario.Ana.Bortolotti,Argentina.Buenos Aires.Ariel.Fernández,Belgium.Brussels.Jean Marie.Ruysschaert,Argentina.Rosario.Larisa Estefanía.Cybulski"
48,2020,9,Cellular and molecular life sciences : CMLS,"Amyotrophic lateral sclerosis-linked UBQLN2 mutants inhibit endoplasmic reticulum to Golgi transport, leading to Golgi fragmentation and ER stress","Australia.Sydney.Mark.Halloran,Australia.Sydney.Audrey M G.Ragagnin,Australia.Sydney.Marta.Vidal,Australia.Sydney.Sonam.Parakh,Australia.Sydney.Shu.Yang,Australia.Sydney.Benjamin.Heng,Australia.Sydney.Natalie.Grima,Australia.Sydney.Hamideh.Shahheydari,Australia.Sydney.Kai-Ying.Soo,Australia.Sydney.Ian.Blair,Australia.Sydney.Gilles J.Guillemin,Australia.Sydney.Vinod.Sundaramoorthy,Australia.Sydney.Julie D.Atkin"
49,2020,09,Cellular & molecular immunology,MiRNA-210 induces microglial activation and regulates microglia-mediated neuroinflammation in neonatal hypoxic-ischemic encephalopathy,"USA.92350.Bo.Li,USA.92350.Chiranjib.Dasgupta,USA.92350.Lei.Huang,USA.92350.Xianmei.Meng,USA.92350.Lubo.Zhang"
50,2020,09,Cellular & molecular immunology,Structures of the four Ig-like domain LILRB2 and the four-domain LILRB1 and HLA-G1 complex,"China.Beijing.Qihui.Wang,China.100101.Hao.Song,China.100101.Hao.Cheng,China.Beijing.Jianxun.Qi,China.Beijing.Gol.Nam,China.Beijing.Shuguang.Tan,China.Beijing.Junzhi.Wang,China.Beijing.Min.Fang,China.Beijing.Yi.Shi,China.Hefei.Zhigang.Tian,China.Shanghai.Xuetao.Cao,USA.TX.Zhiqiang.An,China.Beijing.Jinghua.Yan,China.100101.George F.Gao"
51,2020,09,Cellular & molecular immunology,BANK1 interacts with TRAF6 and MyD88 in innate immune signaling in B cells,"Spain.Granada.Ina.Georg,Spain.Granada.Alejandro.Díaz-Barreiro,Spain.Granada.Maria.Morell,Spain.Granada.Angel L.Pey,Spain.Granada.Marta E.Alarcón-Riquelme"
52,2020,8,Cellular and molecular life sciences : CMLS,Extracellular signal-regulated kinase 1/2 regulates NAD metabolism during acute kidney injury through microRNA-34a-mediated NAMPT expression,"USA.SC.Justin B.Collier,USA.AZ.Rick G.Schnellmann"
53,2020,8,Cellular and molecular life sciences : CMLS,Modulation of SRSF2 expression reverses the exhaustion of TILs via the epigenetic regulation of immune checkpoint molecules,"China.518039.Ziqiang.Wang,China.250014.Kun.Li,China.518039.Wei.Chen,China.518039.Xiaoxia.Wang,China.518039.Yikun.Huang,China.518039.Weiming.Wang,China.518039.Wanjun.Wu,China.518039.Zhiming.Cai,China.518039.Weiren.Huang"
54,2020,8,Cellular and molecular life sciences : CMLS,A role of cellular translation regulation associated with toxic Huntingtin protein,"India.Pune.Hiranmay.Joag,India.Pune.Vighnesh.Ghatpande,India.Pune.Meghal.Desai,India.Pune.Maitheli.Sarkar,India.Pune.Anshu.Raina,India.Pune.Mrunalini.Shinde,India.Pune.Ruta.Chitale,India.Pune.Ankita.Deo,India.Pune.Tania.Bose,India.Pune.Amitabha.Majumdar"
55,2020,8,Cellular and molecular life sciences : CMLS,A long hypoxia-inducible factor 3 isoform 2 is a transcription activator that regulates erythropoietin,"Finland.Oulu.Jussi-Pekka.Tolonen,Finland.Oulu.Minna.Heikkilä,Finland.Joensuu.Marjo.Malinen,Finland.Oulu.Hang-Mao.Lee,Finland.Kuopio.Jorma J.Palvimo,Finland.Oulu.Gong-Hong.Wei,Finland.Oulu.Johanna.Myllyharju"
56,2020,8,Cellular and molecular life sciences : CMLS,Molecular mechanism of olesoxime-mediated neuroprotection through targeting α-synuclein interaction with mitochondrial VDAC,"USA.20892-0924.Amandine.Rovini,USA.20892-0924.Philip A.Gurnev,USA.20892.Alexandra.Beilina,USA.20892-0924.María.Queralt-Martín,USA.20892-0924.William.Rosencrans,USA.20892.Mark R.Cookson,USA.20892-0924.Sergey M.Bezrukov,USA.20892-0924.Tatiana K.Rostovtseva"
57,2020,8,Cellular and molecular life sciences : CMLS,Olig2 regulates terminal differentiation and maturation of peripheral olfactory sensory neurons,"China.Shaanxi.Ya-Zhou.Wang,China.Shaanxi.Hong.Fan,USA.95817.Yu.Ji,USA.95817.Kurt.Reynolds,USA.95817.Ran.Gu,USA.95817.Qini.Gan,USA.95817.Takashi.Yamagami,USA.95817.Tianyu.Zhao,USA.95817.Salaheddin.Hamad,Japan.951-8510.Norihisa.Bizen,Japan.951-8510.Hirohide.Takebayashi,USA.70118.YiPing.Chen,China.Shaanxi.Shengxi.Wu,USA.95817.David.Pleasure,USA.95817.Kit.Lam,USA.95817.Chengji J.Zhou"
58,2020,8,Cellular and molecular life sciences : CMLS,Mechanical instabilities of aorta drive blood stem cell production: a live study,"France.Montpellier.Nausicaa.Poullet,France.Montpellier.Ivan.Golushko,France.Montpellier.Vladimir.Lorman,France.Montpellier.Jana.Travnickova,France.Montpellier.Charlotte.Bureau,Russia.Rostov-on-Don.Dmitrii.Chalin,Russia.Rostov-on-Don.Sergei.Rochal,France.Montpellier.Andrea.Parmeggiani,France.Montpellier.Karima.Kissa"
59,2020,8,Cellular and molecular life sciences : CMLS,"Knockout of the non-essential gene SUGCT creates diet-linked, age-related microbiome disbalance with a diabetes-like metabolic syndrome phenotype","Republic of Singapore.138673.Joanna.Niska-Blakie,Republic of Singapore.138673.Lakshmi.Gopinathan,Republic of Singapore.138671.Kia Ngee.Low,Republic of Singapore.138671.Yang Lay.Kien,Republic of Singapore.138673.Christine M F.Goh,Republic of Singapore.138673.Matias J.Caldez,Republic of Singapore.138673.Elisabeth.Pfeiffenberger,Republic of Singapore.138673.Oliver S.Jones,Republic of Singapore.138673.Chee Bing.Ong,Republic of Singapore.138671.Igor V.Kurochkin,USA.43210.Vincenzo.Coppola,USA.21702-1201.Lino.Tessarollo,Republic of Singapore.138673.Hyungwon.Choi,Republic of Singapore.138671.Yoganathan.Kanagasundaram,Republic of Singapore.138671.Frank.Eisenhaber,Republic of Singapore.138671.Sebastian.Maurer-Stroh,Republic of Singapore.138673.Philipp.Kaldis"
